#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
150000	320.0000000008015	-362567.4154671953	301.1164584278057	1.0616566016012623	8.44	1:59:22
151000	322.00000000081104	-361796.23939900816	299.71285237959995	1.0581463657902757	8.44	1:59:02
152000	324.0000000008206	-363300.45148150774	303.2965583048461	1.062563920731331	8.44	1:58:42
153000	326.00000000083014	-362083.1297684841	300.50269492882296	1.0627952916102783	8.44	1:58:22
154000	328.0000000008397	-362841.5930632848	300.3043259015365	1.0600816347106639	8.44	1:58:02
155000	330.00000000084924	-362926.0765272761	299.9546714688058	1.0581882693971498	8.44	1:57:41
156000	332.0000000008588	-362158.0455481259	300.07521360680533	1.0547308381951397	8.44	1:57:21
157000	334.00000000086834	-362605.05501274095	300.4182432751273	1.0579436951177985	8.44	1:57:00
158000	336.0000000008779	-362035.1231979898	301.5477191984227	1.0532209614348311	8.44	1:56:40
159000	338.00000000088744	-363247.86516948603	298.1681800337842	1.0542532665336208	8.44	1:56:19
160000	340.000000000897	-363627.08657073777	300.64393291804316	1.061631792215067	8.44	1:55:59
161000	342.00000000090654	-362216.4054759868	298.4028228109426	1.0608555628234697	8.44	1:55:38
162000	344.0000000009161	-362171.3590454576	298.45270478213894	1.0590921543205016	8.44	1:55:18
163000	346.00000000092564	-362825.8859750084	298.3135623414568	1.061969017468898	8.44	1:54:57
164000	348.0000000009352	-362916.13146207994	300.2711076154107	1.0591269128805683	8.44	1:54:37
165000	350.00000000094474	-362395.3516764954	301.0746763108669	1.0601157745858405	8.44	1:54:17
166000	352.0000000009543	-362992.5842320688	304.51655169741446	1.0543395586926756	8.44	1:53:56
167000	354.00000000096384	-362410.5857887108	301.02654233544894	1.0575047365333599	8.44	1:53:36
168000	356.0000000009734	-361928.3415342836	300.3020683818523	1.060200319047139	8.44	1:53:16
169000	358.00000000098294	-362259.0661509322	299.4715624958572	1.0545971781208068	8.44	1:52:55
170000	360.0000000009925	-362351.8214661178	300.552718242675	1.060606349155035	8.44	1:52:35
171000	362.00000000100204	-362604.2443490525	301.50158597067497	1.0628324483195073	8.44	1:52:15
172000	364.0000000010116	-362582.55642142746	296.010709202681	1.0638849353896296	8.44	1:51:54
173000	366.00000000102114	-362951.6689484296	300.7273613882767	1.0601676004244869	8.44	1:51:34
174000	368.0000000010307	-362372.87308704725	298.8711433215728	1.0606966845586505	8.44	1:51:14
175000	370.00000000104023	-362810.9231219748	302.15227446381635	1.0597493304558492	8.44	1:50:53
176000	372.0000000010498	-361715.18138555	298.3017252244752	1.0562129002526401	8.44	1:50:33
177000	374.00000000105933	-361716.0525967671	301.2588952237347	1.062192594963605	8.44	1:50:12
178000	376.0000000010689	-362613.70796447166	299.8327761786292	1.0596764091070792	8.44	1:49:52
179000	378.00000000107843	-364369.9088108638	300.99243113597606	1.0546975035761592	8.44	1:49:32
180000	380.000000001088	-362771.55459701474	298.62946774311473	1.0592089678518994	8.44	1:49:11
181000	382.00000000109753	-362938.92944124644	301.9249381567355	1.0592482277558555	8.44	1:48:51
182000	384.0000000011071	-361780.9869688967	299.4349501794206	1.0564608164029916	8.44	1:48:30
183000	386.00000000111663	-362961.71699823695	297.8255152043051	1.0608073224206542	8.44	1:48:10
184000	388.0000000011262	-363743.7061688795	301.29919961914567	1.0686416069950806	8.44	1:47:49
185000	390.00000000113573	-363119.0160015574	304.0091966303579	1.0627530776821095	8.44	1:47:29
186000	392.0000000011453	-363586.20710934466	298.18900574431984	1.0607505943806954	8.44	1:47:09
187000	394.00000000115483	-363818.51229734765	297.1690775659615	1.0579027235375351	8.44	1:46:48
188000	396.0000000011644	-363468.0774460157	300.04255782919745	1.061570540158152	8.44	1:46:28
189000	398.00000000117393	-363345.16124034615	298.366292801322	1.0594154065847177	8.44	1:46:07
190000	400.0000000011835	-362065.2022444638	297.765689283208	1.0566821256185983	8.44	1:45:47
191000	402.00000000119303	-362348.74395715515	303.651082541138	1.062159468520229	8.44	1:45:26
192000	404.0000000012026	-362136.4167337361	299.81625496966427	1.057360265766888	8.44	1:45:06
193000	406.00000000121213	-361648.3197560479	298.39939580521246	1.0535175685188982	8.44	1:44:45
194000	408.0000000012217	-362093.8516813696	298.3501133757298	1.0563548357374064	8.44	1:44:25
195000	410.00000000123123	-363704.107998707	298.1897031724865	1.0577594827243348	8.44	1:44:04
196000	412.0000000012408	-363127.865453148	301.53414984085066	1.0541486390142598	8.44	1:43:44
197000	414.0000000012503	-363308.5473712232	299.7315467857968	1.053035710596798	8.44	1:43:24
198000	416.0000000012599	-361707.7221692269	298.91058093650594	1.0502695777844882	8.44	1:43:03
199000	418.0000000012694	-362968.0095010711	299.4196215730247	1.0574575606905179	8.44	1:42:43
200000	420.000000001279	-363479.44038970064	300.5493342684665	1.0617480306636458	8.44	1:42:22
201000	422.0000000012885	-362266.41543622426	299.52446972844217	1.0597441560759642	8.44	1:42:02
202000	424.0000000012981	-362116.94429407583	298.28585182440645	1.0616640772078019	8.44	1:41:42
